Gene_ID	Metabolite_Category	Description	SwissProt_Hit	NR_Hit	GOs	KEGG_Pathway
CcGene_08881	Glycosyltransferase	Belongs to the glycosyltransferase 2 family. Plant cellulose synthase subfamily	sp|A2Z1C8|CESA9_ORYSI	XP_017252157.1	GO:0000271,GO:0000278,GO:0000281,GO:0000910,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005886,GO:0005975,GO:0005976,GO:0006073,GO:0007049,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009250,GO:0009507,GO:0009536,GO:0009664,GO:0009832,GO:0009833,GO:0009834,GO:0009987,GO:0010330,GO:0010393,GO:0010395,GO:0010400,GO:0012505,GO:0016020,GO:0016043,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0016759,GO:0017144,GO:0022402,GO:0030243,GO:0030244,GO:0032991,GO:0033692,GO:0034637,GO:0034645,GO:0042546,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044036,GO:0044042,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044444,GO:0044464,GO:0045229,GO:0045488,GO:0046527,GO:0051273,GO:0051274,GO:0051301,GO:0052546,GO:0061640,GO:0071554,GO:0071555,GO:0071669,GO:0071704,GO:0071840,GO:0071944,GO:1901576,GO:1902494,GO:1903047,GO:1990234	-
CcGene_09094	Acyltransferase	O-acyltransferase WSD1-like	sp|Q9M3B3|WSD4_ARATH	XP_063948825.1	-	-
CcGene_09120	Acyltransferase	Phosphate acyltransferases	sp|Q5XF03|GPAT8_ARATH	XP_017231148.1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008374,GO:0009058,GO:0009059,GO:0009987,GO:0010143,GO:0012505,GO:0016020,GO:0016311,GO:0016740,GO:0016746,GO:0016747,GO:0016787,GO:0016788,GO:0016791,GO:0042578,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:0090447,GO:1901576	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110
CcGene_09172	Glycosyltransferase	Belongs to the glycosyltransferase 8 family	sp|Q9LSG3|GAUT8_ARATH	KAL1830373.1	GO:0000271,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005768,GO:0005794,GO:0005802,GO:0005975,GO:0005976,GO:0008150,GO:0008152,GO:0008194,GO:0009058,GO:0009059,GO:0009664,GO:0009832,GO:0009987,GO:0010289,GO:0010383,GO:0010393,GO:0010394,GO:0012505,GO:0016043,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0017144,GO:0031410,GO:0031982,GO:0031984,GO:0033692,GO:0034637,GO:0034645,GO:0042546,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0045229,GO:0045488,GO:0045489,GO:0047262,GO:0052325,GO:0052546,GO:0070589,GO:0070592,GO:0071554,GO:0071555,GO:0071669,GO:0071704,GO:0071840,GO:0097708,GO:0098791,GO:1901576	ko00520,map00520
CcGene_09391	Cytochrome P450	cytochrome P450	sp|Q43147|C85A1_SOLLC	XP_017217054.1	GO:0000226,GO:0001578,GO:0003674,GO:0003824,GO:0004497,GO:0006091,GO:0006629,GO:0006694,GO:0006996,GO:0007010,GO:0007017,GO:0007275,GO:0008150,GO:0008152,GO:0008202,GO:0008610,GO:0009058,GO:0009314,GO:0009416,GO:0009628,GO:0009642,GO:0009646,GO:0009647,GO:0009791,GO:0009987,GO:0010268,GO:0010817,GO:0016043,GO:0016125,GO:0016128,GO:0016129,GO:0016131,GO:0016132,GO:0016491,GO:0022900,GO:0032501,GO:0032502,GO:0042445,GO:0042446,GO:0042592,GO:0044237,GO:0044238,GO:0048856,GO:0048878,GO:0050896,GO:0055088,GO:0055114,GO:0065007,GO:0065008,GO:0071704,GO:0071840,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617	ko00905,ko01100,ko01110,map00905,map01100,map01110
CcGene_09703	Cytochrome P450	Belongs to the cytochrome P450 family	sp|Q5Y750|CP512_ARATH	KAK1394360.1	GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005794,GO:0005886,GO:0006629,GO:0006694,GO:0008150,GO:0008152,GO:0008202,GO:0008398,GO:0008610,GO:0009058,GO:0012505,GO:0016020,GO:0016125,GO:0016126,GO:0016491,GO:0016705,GO:0016709,GO:0032451,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0055114,GO:0070988,GO:0071704,GO:0071944,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617	ko00100,ko01100,ko01110,ko01130,map00100,map01100,map01110,map01130
CcGene_09778	Glycosyltransferase	Belongs to the UDP-glycosyltransferase family	sp|Q9ZSK5|ZOG_PHALU	XP_017245205.1	GO:0000003,GO:0003006,GO:0003674,GO:0003824,GO:0006464,GO:0006486,GO:0006725,GO:0006807,GO:0007275,GO:0008150,GO:0008152,GO:0008194,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009308,GO:0009653,GO:0009690,GO:0009791,GO:0009888,GO:0009889,GO:0009908,GO:0009965,GO:0009987,GO:0010015,GO:0010016,GO:0010073,GO:0010075,GO:0010083,GO:0010154,GO:0010380,GO:0010817,GO:0016740,GO:0016757,GO:0016758,GO:0016763,GO:0019222,GO:0019538,GO:0022414,GO:0022622,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0034645,GO:0034754,GO:0035251,GO:0035252,GO:0036211,GO:0040008,GO:0042285,GO:0042445,GO:0043170,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0045926,GO:0046483,GO:0046527,GO:0048316,GO:0048364,GO:0048366,GO:0048367,GO:0048439,GO:0048507,GO:0048509,GO:0048519,GO:0048608,GO:0048638,GO:0048731,GO:0048827,GO:0048831,GO:0048856,GO:0050403,GO:0050404,GO:0050789,GO:0050793,GO:0050794,GO:0051171,GO:0051193,GO:0051239,GO:0061458,GO:0065007,GO:0065008,GO:0070085,GO:0071704,GO:0090056,GO:0090567,GO:0090698,GO:0099402,GO:1901135,GO:1901137,GO:1901401,GO:1901463,GO:1901564,GO:1901566,GO:1901576,GO:1905392,GO:1905613,GO:2000026	ko00908,ko01110,map00908,map01110
CcGene_09828	Glycosyltransferase	UDP-glycosyltransferase 83A1-like	sp|Q9SGA8|U83A1_ARATH	XP_017255988.1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0008194,GO:0016740,GO:0016757,GO:0016758,GO:0035251,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0046527,GO:0080043,GO:0080044	-
CcGene_09944	Cytochrome P450	cytochrome P450	sp|Q9C788|C70B1_ARATH	KAK1379566.1	GO:0003674,GO:0003824,GO:0004497,GO:0006725,GO:0007275,GO:0008150,GO:0008152,GO:0009058,GO:0009555,GO:0009653,GO:0009987,GO:0010208,GO:0010584,GO:0010927,GO:0016043,GO:0016491,GO:0016705,GO:0016713,GO:0018685,GO:0019438,GO:0022607,GO:0030198,GO:0032501,GO:0032502,GO:0032989,GO:0043062,GO:0044085,GO:0044237,GO:0044249,GO:0045229,GO:0048229,GO:0048646,GO:0048856,GO:0048869,GO:0055114,GO:0071840,GO:0080110,GO:0085029	-
CcGene_10204	Cytochrome P450	Belongs to the cytochrome P450 family	sp|Q96423|TCMO_GLYEC	XP_017220683.1	GO:0003674,GO:0003824,GO:0004497,GO:0005488,GO:0005515,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0005783,GO:0005794,GO:0005886,GO:0005911,GO:0006725,GO:0006732,GO:0006733,GO:0006743,GO:0006744,GO:0007275,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009505,GO:0009506,GO:0009555,GO:0009628,GO:0009698,GO:0009808,GO:0009987,GO:0012505,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0016710,GO:0019748,GO:0030054,GO:0030312,GO:0031090,GO:0032501,GO:0032502,GO:0040007,GO:0042180,GO:0042181,GO:0042802,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0048229,GO:0048856,GO:0050896,GO:0051186,GO:0051188,GO:0055044,GO:0055114,GO:0071704,GO:0071944,GO:0080167,GO:0098588,GO:0098805,GO:1901360,GO:1901576,GO:1901661,GO:1901663	ko00130,ko00360,ko00940,ko00941,ko00945,ko01100,ko01110,ko01220,map00130,map00360,map00940,map00941,map00945,map01100,map01110,map01220
CcGene_10357	Glycosyltransferase	Belongs to the UDP-glycosyltransferase family	sp|Q9ZSK5|ZOG_PHALU	XP_074367276.1	GO:0000003,GO:0003006,GO:0003674,GO:0003824,GO:0006464,GO:0006486,GO:0006725,GO:0006807,GO:0007275,GO:0008150,GO:0008152,GO:0008194,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009308,GO:0009653,GO:0009690,GO:0009791,GO:0009888,GO:0009889,GO:0009908,GO:0009965,GO:0009987,GO:0010015,GO:0010016,GO:0010073,GO:0010075,GO:0010083,GO:0010154,GO:0010380,GO:0010817,GO:0016740,GO:0016757,GO:0016758,GO:0016763,GO:0019222,GO:0019538,GO:0022414,GO:0022622,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0034645,GO:0034754,GO:0035251,GO:0035252,GO:0036211,GO:0040008,GO:0042285,GO:0042445,GO:0043170,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0045926,GO:0046483,GO:0046527,GO:0048316,GO:0048364,GO:0048366,GO:0048367,GO:0048439,GO:0048507,GO:0048509,GO:0048519,GO:0048608,GO:0048638,GO:0048731,GO:0048827,GO:0048831,GO:0048856,GO:0050403,GO:0050404,GO:0050789,GO:0050793,GO:0050794,GO:0051171,GO:0051193,GO:0051239,GO:0061458,GO:0065007,GO:0065008,GO:0070085,GO:0071704,GO:0090056,GO:0090567,GO:0090698,GO:0099402,GO:1901135,GO:1901137,GO:1901401,GO:1901463,GO:1901564,GO:1901566,GO:1901576,GO:1905392,GO:1905613,GO:2000026	ko00908,ko01110,map00908,map01110
CcGene_10359	Glycosyltransferase	Belongs to the UDP-glycosyltransferase family	sp|Q8RXA5|CZOG2_MAIZE	XP_074367276.1	GO:0000003,GO:0003006,GO:0003674,GO:0003824,GO:0006464,GO:0006486,GO:0006725,GO:0006807,GO:0007275,GO:0008150,GO:0008152,GO:0008194,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009308,GO:0009653,GO:0009690,GO:0009791,GO:0009888,GO:0009889,GO:0009908,GO:0009965,GO:0009987,GO:0010015,GO:0010016,GO:0010073,GO:0010075,GO:0010083,GO:0010154,GO:0010380,GO:0010817,GO:0016740,GO:0016757,GO:0016758,GO:0016763,GO:0019222,GO:0019538,GO:0022414,GO:0022622,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0034645,GO:0034754,GO:0035251,GO:0035252,GO:0036211,GO:0040008,GO:0042285,GO:0042445,GO:0043170,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0045926,GO:0046483,GO:0046527,GO:0048316,GO:0048364,GO:0048366,GO:0048367,GO:0048439,GO:0048507,GO:0048509,GO:0048519,GO:0048608,GO:0048638,GO:0048731,GO:0048827,GO:0048831,GO:0048856,GO:0050403,GO:0050404,GO:0050789,GO:0050793,GO:0050794,GO:0051171,GO:0051193,GO:0051239,GO:0061458,GO:0065007,GO:0065008,GO:0070085,GO:0071704,GO:0090056,GO:0090567,GO:0090698,GO:0099402,GO:1901135,GO:1901137,GO:1901401,GO:1901463,GO:1901564,GO:1901566,GO:1901576,GO:1905392,GO:1905613,GO:2000026	ko00908,map00908
CcGene_10518	Glycosyltransferase	Xyloglucan glycosyltransferase	sp|Q9LJP4|CSLC4_ARATH	KAL1824588.1	-	-
CcGene_10638	Cytochrome P450	cytochrome P450	sp|A0A0N7F297|C82D6_SINHE	XP_017244377.1	GO:0001666,GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0006950,GO:0008150,GO:0008152,GO:0009058,GO:0009628,GO:0009987,GO:0010035,GO:0010038,GO:0010039,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0019748,GO:0033554,GO:0036293,GO:0036294,GO:0042221,GO:0044550,GO:0050896,GO:0051716,GO:0055114,GO:0070482,GO:0070887,GO:0071241,GO:0071248,GO:0071281,GO:0071453,GO:0071456	ko00140,ko01100,ko04913,ko04917,ko04927,ko04934,map00140,map01100,map04913,map04917,map04927,map04934
CcGene_10691	Cytochrome P450	cytochrome P450	sp|A0A0S2IHL2|C7A39_KALSE	XP_017219869.1	-	-
CcGene_10777	Cytochrome P450	Cytochrome p450	sp|O81973|C93A3_SOYBN	XP_017217997.1	GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0008150,GO:0008152,GO:0009058,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0019748,GO:0044550,GO:0055114	ko00140,ko00380,ko00830,ko00943,ko00980,ko01100,ko04913,ko04917,ko04927,ko04934,ko05204,map00140,map00380,map00830,map00943,map00980,map01100,map04913,map04917,map04927,map04934,map05204
CcGene_11095	Acyltransferase	Glycerol-3-phosphate 2-O-acyltransferase 6-like	sp|A0A0M4FCN7|RAM2_PETHY	KAK1404472.1	GO:0000003,GO:0003006,GO:0003674,GO:0003824,GO:0005575,GO:0006793,GO:0006796,GO:0007275,GO:0008150,GO:0008152,GO:0008374,GO:0009058,GO:0009059,GO:0009791,GO:0009908,GO:0009987,GO:0010143,GO:0016020,GO:0016311,GO:0016740,GO:0016746,GO:0016747,GO:0016787,GO:0016788,GO:0016791,GO:0022414,GO:0032501,GO:0032502,GO:0042578,GO:0043170,GO:0044237,GO:0048367,GO:0048608,GO:0048731,GO:0048856,GO:0061458,GO:0071704,GO:0090447,GO:0090567,GO:1901576	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110
CcGene_11348	Cytochrome P450	cytochrome P450	sp|W8JIS5|IO_CATRO	XP_063948789.1	-	-
CcGene_11687	Cytochrome P450	Cytochrome p450	sp|O81973|C93A3_SOYBN	KAL1808042.1	GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0008150,GO:0008152,GO:0009058,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0019748,GO:0044550,GO:0055114	ko00140,ko00380,ko00830,ko00943,ko00980,ko01100,ko04913,ko04917,ko04927,ko04934,ko05204,map00140,map00380,map00830,map00943,map00980,map01100,map04913,map04917,map04927,map04934,map05204
CcGene_11722	Acyltransferase	glycerol-3-phosphate acyltransferase	sp|Q9SHJ5|GPAT1_ARATH	KAL1812734.1	GO:0000003,GO:0003006,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006793,GO:0006796,GO:0007275,GO:0007276,GO:0008150,GO:0008152,GO:0008374,GO:0009058,GO:0009059,GO:0009555,GO:0009628,GO:0009987,GO:0010143,GO:0016020,GO:0016311,GO:0016740,GO:0016746,GO:0016747,GO:0016787,GO:0016788,GO:0016791,GO:0019953,GO:0022412,GO:0022414,GO:0030154,GO:0032501,GO:0032502,GO:0032504,GO:0042578,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044424,GO:0044444,GO:0044464,GO:0044703,GO:0048229,GO:0048232,GO:0048235,GO:0048609,GO:0048856,GO:0048869,GO:0050896,GO:0051704,GO:0055046,GO:0071704,GO:0080167,GO:0090447,GO:1901576	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110
CcGene_11732	Terpene Synthase	Belongs to the terpene synthase family	sp|A0A0M4M0T9|TPS28_TRIWF	XP_017242829.1	GO:0000287,GO:0001101,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006629,GO:0006720,GO:0006721,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009507,GO:0009536,GO:0009685,GO:0009686,GO:0009719,GO:0009725,GO:0009739,GO:0009740,GO:0009755,GO:0009905,GO:0009987,GO:0010033,GO:0010476,GO:0010817,GO:0016053,GO:0016101,GO:0016102,GO:0016114,GO:0016853,GO:0016872,GO:0019752,GO:0023052,GO:0032870,GO:0033993,GO:0042221,GO:0042445,GO:0042446,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046872,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0065008,GO:0070887,GO:0071229,GO:0071310,GO:0071370,GO:0071396,GO:0071495,GO:0071704,GO:1901576,GO:1901700,GO:1901701	ko00904,ko01100,ko01110,map00904,map01100,map01110
CcGene_11779	Cytochrome P450	Belongs to the cytochrome P450 family	sp|Q9LJK2|ABAH4_ARATH	KAL1824313.1	GO:0003674,GO:0003824,GO:0004497,GO:0006629,GO:0006694,GO:0007275,GO:0008150,GO:0008152,GO:0008202,GO:0008610,GO:0009058,GO:0010268,GO:0010295,GO:0010817,GO:0016125,GO:0016128,GO:0016129,GO:0016131,GO:0016132,GO:0016491,GO:0016705,GO:0016709,GO:0032501,GO:0032502,GO:0042445,GO:0042446,GO:0042592,GO:0044238,GO:0048856,GO:0048878,GO:0055088,GO:0055114,GO:0065007,GO:0065008,GO:0071704,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617	ko00906,map00906
CcGene_11900	Glycosyltransferase	Belongs to the UDP-glycosyltransferase family	sp|Q9SGA8|U83A1_ARATH	WOH09003.1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0008194,GO:0016740,GO:0016757,GO:0016758,GO:0035251,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0046527,GO:0080043,GO:0080044	-
CcGene_12153	Cytochrome P450	Cytochrome P450	sp|A0A9Y1E1K8|C82M3_DATST	KAL1824354.1	GO:0001666,GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0006950,GO:0008150,GO:0008152,GO:0009058,GO:0009628,GO:0009987,GO:0010035,GO:0010038,GO:0010039,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0019748,GO:0033554,GO:0036293,GO:0036294,GO:0042221,GO:0044550,GO:0050896,GO:0051716,GO:0055114,GO:0070482,GO:0070887,GO:0071241,GO:0071248,GO:0071281,GO:0071453,GO:0071456	ko00140,ko01100,ko04913,ko04917,ko04927,ko04934,map00140,map01100,map04913,map04917,map04927,map04934
CcGene_12177	Glycosyltransferase	Belongs to the glycosyltransferase 31 family	sp|Q5XEZ1|B3GT9_ARATH	XP_017230964.1	GO:0003674,GO:0003824,GO:0006029,GO:0006464,GO:0006486,GO:0006493,GO:0006807,GO:0008150,GO:0008152,GO:0008378,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009987,GO:0010384,GO:0010404,GO:0010405,GO:0016740,GO:0016757,GO:0016758,GO:0018193,GO:0018208,GO:0018258,GO:0019538,GO:0034645,GO:0036211,GO:0043170,GO:0043412,GO:0043413,GO:0044036,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0070085,GO:0071554,GO:0071704,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576,GO:1990714	-
CcGene_12384	Glycosyltransferase	Belongs to the UDP-glycosyltransferase family	sp|Q6VAB3|U85A8_STERE	KAL1812131.1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0008194,GO:0015020,GO:0016740,GO:0016757,GO:0016758,GO:0035251,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0046527,GO:0050403,GO:0050502,GO:0080043,GO:0080044	-
CcGene_12529	Cytochrome P450	cytochrome P450	sp|P37122|C76A2_SOLME	AQY76214.1	-	-
CcGene_13177	Glycosyltransferase	xyloglucan glycosyltransferase 6	sp|Q9SRT3|CSLC6_ARATH	XP_017241534.1	GO:0000003,GO:0003006,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005794,GO:0005802,GO:0008150,GO:0009856,GO:0012505,GO:0022414,GO:0031410,GO:0031982,GO:0031984,GO:0032501,GO:0032502,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0044706,GO:0048856,GO:0048868,GO:0051704,GO:0097708,GO:0098791	-
CcGene_13301	Glycosyltransferase	Belongs to the glycosyltransferase 8 family	sp|C7G304|GOLS2_SOLLC	KAK1401870.1	GO:0000271,GO:0001101,GO:0003674,GO:0003824,GO:0005488,GO:0005536,GO:0005975,GO:0005976,GO:0005977,GO:0005978,GO:0005996,GO:0006012,GO:0006073,GO:0006091,GO:0006112,GO:0006950,GO:0006970,GO:0006979,GO:0007154,GO:0008150,GO:0008152,GO:0008194,GO:0008378,GO:0008466,GO:0009058,GO:0009059,GO:0009250,GO:0009266,GO:0009269,GO:0009409,GO:0009414,GO:0009415,GO:0009605,GO:0009628,GO:0009651,GO:0009719,GO:0009725,GO:0009737,GO:0009987,GO:0009991,GO:0010033,GO:0010035,GO:0015980,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0019318,GO:0030246,GO:0031668,GO:0033554,GO:0033692,GO:0033993,GO:0034637,GO:0034645,GO:0035250,GO:0035251,GO:0036094,GO:0042221,GO:0042631,GO:0043170,GO:0044042,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044262,GO:0044264,GO:0044281,GO:0046527,GO:0047216,GO:0048029,GO:0050896,GO:0051716,GO:0055114,GO:0070417,GO:0070887,GO:0071214,GO:0071229,GO:0071462,GO:0071465,GO:0071496,GO:0071704,GO:0097305,GO:0104004,GO:1901576,GO:1901700,GO:1901701	ko00052,map00052
CcGene_13324	Cytochrome P450	Belongs to the cytochrome P450 family	sp|B8AV52|C724B_ORYSI	XP_074365160.1	GO:0003674,GO:0003824,GO:0004497,GO:0005488,GO:0006629,GO:0006694,GO:0007275,GO:0008150,GO:0008152,GO:0008202,GO:0008610,GO:0009058,GO:0009314,GO:0009416,GO:0009628,GO:0009642,GO:0009646,GO:0009647,GO:0009791,GO:0010268,GO:0010817,GO:0016125,GO:0016128,GO:0016129,GO:0016131,GO:0016132,GO:0016491,GO:0020037,GO:0032501,GO:0032502,GO:0042445,GO:0042446,GO:0042592,GO:0044238,GO:0046906,GO:0048037,GO:0048856,GO:0048878,GO:0050896,GO:0055088,GO:0055114,GO:0065007,GO:0065008,GO:0071704,GO:0097159,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1901615,GO:1901617	ko00905,ko01100,ko01110,map00905,map01100,map01110
CcGene_13344	Cytochrome P450	Cytochrome p450	sp|H2DH20|C7D13_PANGI	AQY76223.1	GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0008150,GO:0008152,GO:0009058,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0019748,GO:0044550,GO:0055114	ko00140,ko00590,ko00591,ko00909,ko01100,ko01110,ko04212,ko04726,ko04750,ko04913,ko04917,ko04927,ko04934,map00140,map00590,map00591,map00909,map01100,map01110,map04212,map04726,map04750,map04913,map04917,map04927,map04934
CcGene_13355	Glycosyltransferase	Glycosyltransferase Family 4	-	WP_084332852.1	-	-
CcGene_13640	Cytochrome P450	Belongs to the cytochrome P450 family	sp|O49394|C82C2_ARATH	XP_017220500.2	GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0010035,GO:0010038,GO:0010039,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0019748,GO:0042221,GO:0044550,GO:0050896,GO:0051716,GO:0055114,GO:0070887,GO:0071241,GO:0071248,GO:0071281	ko00140,ko01100,ko04913,ko04917,ko04927,ko04934,map00140,map01100,map04913,map04917,map04927,map04934
CcGene_13971	Cytochrome P450	cytochrome P450	sp|Q9FIB0|C78A7_ARATH	KAK1391940.1	GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0008150,GO:0008152,GO:0009058,GO:0016020,GO:0016491,GO:0016705,GO:0016709,GO:0019748,GO:0022603,GO:0040034,GO:0044550,GO:0050789,GO:0050793,GO:0055114,GO:0065007,GO:0090709,GO:1905428	-
CcGene_14654	Acyltransferase	Lecithin-cholesterol acyltransferase-like 4	sp|Q71N54|LCAT4_ARATH	XP_017227708.1	GO:0003674,GO:0003824,GO:0004620,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006629,GO:0006644,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009056,GO:0009395,GO:0009987,GO:0016042,GO:0016298,GO:0016787,GO:0016788,GO:0019637,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044424,GO:0044444,GO:0044464,GO:0046434,GO:0071704,GO:1901575	ko00564,ko00592,ko01100,ko01110,map00564,map00592,map01100,map01110
CcGene_14829	Terpene Synthase, Monoterpene Biosynthesis	(-)-alpha-pinene synthase-like	sp|A0A167V661|TPS8_CAMSI	KAK1363904.1	-	ko00909,map00909
CcGene_14936	Glycosyltransferase	Belongs to the glycosyltransferase 8 family	sp|Q9FWA4|GAUT9_ARATH	XP_017219327.1	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005794,GO:0005802,GO:0008194,GO:0012505,GO:0016740,GO:0016757,GO:0016758,GO:0031410,GO:0031982,GO:0031984,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0047262,GO:0097708,GO:0098791	ko00520,map00520
CcGene_15062	Acyltransferase	Acyltransferase-like protein At1g54570, chloroplastic	sp|Q9ZVN2|PES1_ARATH	XP_017226580.1	GO:0003674,GO:0003824,GO:0004144,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006066,GO:0006629,GO:0006638,GO:0006639,GO:0006641,GO:0006720,GO:0006721,GO:0008150,GO:0008152,GO:0008374,GO:0008610,GO:0009058,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0009987,GO:0010287,GO:0016101,GO:0016411,GO:0016740,GO:0016746,GO:0016747,GO:0017144,GO:0019432,GO:0033306,GO:0034308,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0045017,GO:0046460,GO:0046463,GO:0046486,GO:0071704,GO:1901576,GO:1901615,GO:1903173	-
