id	gene_id	contig	start	end	strand	metabolite_category	description	gos	kegg_pathway
842	CcGene_01191	CcContig_098763	96507	100808	+	Secondary Metabolite	KAL1820901.1hypothetical protein ACET3Z_015770 [Daucus carota]	GO:0000398, GO:0003723, GO:0005654, GO:0005737, GO:0061574	mRNA Splicing - Major Pathway
843	CcGene_23363	CcContig_004565	6582	11143	+	Secondary Metabolite	KAL1805896.1hypothetical protein ACET3Z_028964 [Daucus carota]	GO:0004334, GO:0006559, GO:0006572, GO:1902000	Tyrosine catabolism
844	CcGene_02622	CcContig_046501	70566	75027	+	Secondary Metabolite	3844.1uncharacterized protein LOC108215784 [Daucus carota subsp. sativus]	GO:0005829, GO:0006400, GO:0008479	tRNA modification in the nucleus and cytosol
845	CcGene_03218	CcContig_120084	23228	24798	-	Secondary Metabolite	7009.1benzoate carboxyl methyltransferase [Daucus carota subsp. sativus]	GO:0008757, GO:0032259	Methylation
846	CcGene_20005	CcContig_082136	333	1813	+	Secondary Metabolite	WOG89382.1hypothetical protein DCAR_0208620 [Daucus carota subsp. sativus]	GO:0006886, GO:0006890, GO:0006891, GO:0030126	COPI-mediated anterograde transport; COPI-dependent Golgi-to-ER retrograde traffic
847	CcGene_04001	CcContig_111129	78047	79346	-	Secondary Metabolite	KAL1823286.1hypothetical protein ACET3Z_010064 [Daucus carota]	GO:0000978, GO:0000981, GO:0005634, GO:0006357, GO:0046983	Development of root hair
848	CcGene_19751	CcContig_033632	961	2278	+	Secondary Metabolite	9394.1succinate dehydrogenase [ubiquinone] iron-sulfur subunit 3, mitochondrial [Apium graveolens]	GO:0005739, GO:0006099, GO:0009055, GO:0016491, GO:0022904, GO:0051537	Citric acid cycle (TCA cycle)
849	CcGene_15556	CcContig_050495	318	2544	-	Secondary Metabolite	POO01470.1Exonuclease/helicase-like [Trema orientale]	GO:0003723, GO:0004521, GO:0005515, GO:0005737, GO:0035194	Post-transcriptional silencing by small RNAs
850	CcGene_12996	CcContig_003889	761	2110	+	Secondary Metabolite	4382.1uncharacterized protein LOC141661297 [Apium graveolens]	GO:0016779, GO:0140640	HSFA7/ HSFA6B-regulatory network-induced by drought and ABA.
851	CcGene_05950	CcContig_101050	128835	132891	-	Secondary Metabolite	5568.1cellulose synthase-like protein H1 isoform X1 [Apium graveolens]	GO:0005802, GO:0005886, GO:0009833, GO:0016760, GO:0030244	Cellulose biosynthesis
852	CcGene_16483	CcContig_135890	37996	39329	-	Secondary Metabolite	BDN79330.1O-methyltransferase [Cuminum cyminum]	GO:0008171, GO:0008757, GO:0032259, GO:0046983	Methylation
853	CcGene_00572	CcContig_106794	21790	23911	+	Secondary Metabolite	KAL1803651.1hypothetical protein ACET3Z_032298 [Daucus carota]	GO:0016567, GO:0061630	E3 ubiquitin ligases ubiquitinate target proteins
854	CcGene_11017	CcContig_133308	13802	16071	+	Secondary Metabolite	9835.1replication factor C subunit 2 [Daucus carota subsp. sativus]	GO:0003677, GO:0003689, GO:0005524, GO:0005634, GO:0005663, GO:0006261, GO:0006281, GO:0016887	Polymerase switching on the C-strand of the telomere; Gap-filling DNA repair synthesis and ligation in TC-NER; Translesion synthesis by POLI; Translesion Synthesis by POLH; Recognition of DNA damage by PCNA-containing replication complex; Translesion synthesis by REV1; Termination of translesion DNA synthesis; Dual incision in TC-NER; Chk1-controlled and DNA-damage induced centrosome duplication; Activation of ATR in response to replication stress; Lagging Strand Synthesis; Dual Incision in GG-NER; Gap-filling DNA repair synthesis and ligation in GG-NER; Translesion synthesis by POLK; Polymerase switching; Homologous recombination repair of replication-dependent double-strand breaks; Processing of DNA double-strand break ends; HDR through Homologous Recombination (HRR); HDR through Single Strand Annealing (SSA); Nucleotide Excision Repair; Leading strand synthesis
855	CcGene_03010	CcContig_119015	8147	15126	-	Secondary Metabolite	Conserved gene of	GO:0004674, GO:0005524, GO:0005634, GO:0005829, GO:0005956, GO:0018105, GO:0018107, GO:0051726	Polo-like kinase mediated events; Regulation of TP53 Activity through Phosphorylation
856	CcGene_29683	CcContig_001827	19109	20703	+	Secondary Metabolite	3348.1E3 ubiquitin-protein ligase AIRP2 [Daucus carota subsp. sativus]	GO:0016567, GO:0061630	E3 ubiquitin ligases ubiquitinate target proteins
857	CcGene_20824	CcContig_137564	134793	139066	-	Secondary Metabolite	1341.1uncharacterized protein LOC108205783 [Daucus carota subsp. sativus]	GO:0016255, GO:0042765	Attachment of GPI anchor to uPAR
858	CcGene_25640	CcContig_077149	1553	2044	+	Secondary Metabolite	Protein FAR1-RELATED SEQUENCE 5-like	GO:0005975, GO:0006098, GO:0017057	Pentose phosphate pathway
859	CcGene_21009	CcContig_049800	31890	35004	+	Secondary Metabolite	WOH05974.1hypothetical protein DCAR_0625397 [Daucus carota subsp. sativus]	GO:0043531, GO:0050832	Neutrophil degranulation; Activation of caspases through apoptosome-mediated cleavage; Regulation of the apoptosome activity; Gibberellin signaling; Brassinosteroid signaling
860	CcGene_22823	CcContig_003156	13594	16282	+	Secondary Metabolite	0589.1protein BOLA2 [Daucus carota subsp. sativus]	GO:0005634, GO:0005829, GO:0006879, GO:0051537	Iron uptake and transport
861	CcGene_17009	CcContig_037263	8947	9548	-	Secondary Metabolite	6081.1uncharacterized protein LOC135147161 [Daucus carota subsp. sativus]	GO:0003677, GO:0005634, GO:0046983	Regulation of seed germination and coleoptile growth under submergence and normal gravity environment
862	CcGene_23218	CcContig_094998	46623	48755	+	Secondary Metabolite	KAL1812357.1hypothetical protein ACET3Z_022422 [Daucus carota]	GO:0008483, GO:0009507, GO:0030170, GO:0033014, GO:0042286	Tetrapyrrole biosynthesis I
863	CcGene_16648	CcContig_128399	726	1722	+	Secondary Metabolite	phosphatidylglycerol phosphatidylinositol transfer protein	GO:0000723, GO:0006281, GO:0043139	Fanconi Anemia Pathway in DNA repair
864	CcGene_21989	CcContig_111481	84467	91763	+	Secondary Metabolite	9329.1probable metal-nicotianamine transporter YSL6 [Daucus carota subsp. sativus]	GO:0016020, GO:0035673	Iron uptake and transport in root vascular system; Polar auxin transport
865	CcGene_06010	CcContig_142550	6087	18489	-	Secondary Metabolite	3415.1polycomb group protein EMBRYONIC FLOWER 2 [Daucus carota subsp. sativus]	GO:0005634, GO:0031490	Regulation of PTEN gene transcription; Oxidative Stress Induced Senescence; PRC2 methylates histones and DNA; Transcriptional Regulation by E2F6
866	CcGene_10501	CcContig_047126	7831	14678	+	Secondary Metabolite	7027.1carbon catabolite repressor protein 4 homolog 1 [Daucus carota subsp. sativus]	GO:0000289, GO:0004535, GO:0005634, GO:0005737, GO:0030014	Deadenylation of mRNA
867	CcGene_23013	CcContig_046985	6109	6955	-	Secondary Metabolite	KAK1394882.1Actin-depolymerizing factor 5 [Heracleum sosnowskyi]	GO:0005737, GO:0015629, GO:0030042, GO:0051015, GO:0051017	Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
868	CcGene_07371	CcContig_098959	14127	25770	-	Secondary Metabolite	KAK1403975.1Cellulose synthase [Heracleum sosnowskyi]	GO:0005802, GO:0005886, GO:0009833, GO:0016760, GO:0030244	Cellulose biosynthesis
869	CcGene_13812	CcContig_048969	32678	36667	+	Secondary Metabolite	5659.1elongation factor G-2, chloroplastic [Daucus carota subsp. sativus]	GO:0003746, GO:0003924, GO:0005525, GO:0005739, GO:0006414, GO:0009507, GO:0032543, GO:0032790	Eukaryotic Translation Elongation; Translation elongation
870	CcGene_09739	CcContig_095345	7441	18444	+	Secondary Metabolite	KAL1828042.1hypothetical protein ACET3Z_006454 [Daucus carota]	GO:0003723, GO:0004802, GO:0005829, GO:0006098	Pentose phosphate pathway
871	CcGene_14869	CcContig_002132	27962	30056	+	Secondary Metabolite	KAL1804104.1hypothetical protein ACET3Z_032751 [Daucus carota]	GO:0003872, GO:0005524, GO:0005737, GO:0006002, GO:0006096	Glycolysis; Cytosolic glycolysis; Plastid glycolysis
872	CcGene_02735	CcContig_111194	57381	65292	+	Secondary Metabolite	9532.1endochitinase EP3 [Daucus carota subsp. sativus]	GO:0004568, GO:0005680, GO:0006032, GO:0008061, GO:0008270, GO:0016998, GO:0031145, GO:0061630, GO:0097602	APC/C:Cdc20 mediated degradation of Securin; Cdc20:Phospho-APC/C mediated degradation of Cyclin A; APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1; APC/C:Cdc20 mediated degradation of Cyclin B; Autodegradation of Cdh1 by Cdh1:APC/C
873	CcGene_09429	CcContig_045917	41334	42496	+	Secondary Metabolite	2497.1probable aquaporin TIP2-2 [Daucus carota subsp. sativus]	GO:0006833, GO:0009705, GO:0015250, GO:0055085	Passive transport by Aquaporins
874	CcGene_17032	CcContig_001298	11372	12880	+	Secondary Metabolite	KAK1377992.1Mannose-1-phosphate guanylyltransferase [Heracleum sosnowskyi]	GO:0004475, GO:0005525, GO:0005737, GO:0009298	Synthesis of GDP-mannose
875	CcGene_23009	CcContig_002272	6140	6772	+	Secondary Metabolite	KAF1002504.1hypothetical protein AG4045_028411, partial [Apium graveolens]	GO:0005515	Intracellular auxin transport
876	CcGene_13006	CcContig_139180	7183	12680	+	Secondary Metabolite	belongs to the protein kinase superfamily	GO:0000307, GO:0005524, GO:0005634, GO:0006468, GO:0008353, GO:0032968, GO:0003674, GO:0003824, GO:0004672, GO:0004674, GO:0004675, GO:0004888, GO:0005575, GO:0005623, GO:0005886, GO:0006464, GO:0006793, GO:0006796, GO:0006807, GO:0007154, GO:0007165, GO:0007166, GO:0007167, GO:0007178, GO:0008150, GO:0008152, GO:0009987, GO:0016020, GO:0016301, GO:0016310, GO:0016740, GO:0016772, GO:0016773, GO:0019199, GO:0019538, GO:0023052, GO:0036211, GO:0038023, GO:0043170, GO:0043412, GO:0044237, GO:0044238, GO:0044260, GO:0044267, GO:0044464, GO:0050789, GO:0050794, GO:0050896, GO:0051716, GO:0060089, GO:0065007, GO:0071704, GO:0071944, GO:0140096, GO:1901564	TP53 Regulates Transcription of DNA Repair Genes
877	CcGene_18469	CcContig_140195	6199	18208	-	Secondary Metabolite	1778.1phosphatidylinositol 4-kinase alpha 1 isoform X3 [Daucus carota subsp. sativus]	GO:0004366, GO:0005783, GO:0019432	Triglyceride biosynthesis
878	CcGene_08011	CcContig_050383	9771	11477	-	Secondary Metabolite	8935.1putative glycerol-3-phosphate transporter 1 [Daucus carota subsp. sativus]	GO:0016020, GO:0022857, GO:0055062, GO:0055085	Gluconeogenesis
879	CcGene_04257	CcContig_002491	35341	37521	-	Secondary Metabolite	KAK1373619.1General transcription factor IIH subunit [Heracleum sosnowskyi]	GO:0005675, GO:0006289, GO:0006357	Dual Incision in GG-NER
880	CcGene_10874	CcContig_105094	9309	11735	-	Secondary Metabolite	0345.1ubiquitin-conjugating enzyme E2 5-like [Apium graveolens]	GO:0000209, GO:0005634, GO:0006511, GO:0061631	Antigen processing: Ubiquitination & Proteasome degradation
881	CcGene_18332	CcContig_138816	73380	76415	+	Secondary Metabolite	8487.2serine/arginine-rich splicing factor RS31 isoform X1 [Daucus carota subsp. sativus]	GO:0000398, GO:0003723, GO:0016607	mRNA Splicing - Major Pathway
882	CcGene_25753	CcContig_138846	61624	66078	-	Secondary Metabolite	5820.1NADP-dependent malic enzyme [Daucus carota subsp. sativus]	GO:0004473, GO:0006090, GO:0006108, GO:0009507, GO:0051287	Pyruvate metabolism
883	CcGene_19718	CcContig_132118	21334	23063	+	Secondary Metabolite	KAL1823189.1hypothetical protein ACET3Z_009967 [Daucus carota]	GO:0005506, GO:0005783, GO:0016125, GO:0020037, GO:0051777	Endogenous sterols
884	CcGene_08108	CcContig_141311	47630	51692	-	Secondary Metabolite	4285.1DNA replication licensing factor MCM5 [Daucus carota subsp. sativus]	GO:0000727, GO:0003688, GO:0003697, GO:0005524, GO:0005634, GO:0006270, GO:0017116, GO:0042555, GO:0043138	DNA replication Initiation
885	CcGene_23988	CcContig_133248	27104	31493	+	Secondary Metabolite	9595.1ankyrin repeat-containing protein ITN1-like [Apium graveolens]	GO:0005515, GO:0005886	ARMS-mediated activation; RND2 GTPase cycle; RND1 GTPase cycle
886	CcGene_27284	CcContig_047395	19727	21045	-	Secondary Metabolite	7257.1benzoate carboxyl methyltransferase-like isoform X2 [Daucus carota subsp. sativus]	GO:0008757, GO:0032259	Methylation
887	CcGene_12050	CcContig_144973	35079	37995	-	Alkaloid Biosynthesis	5325.1anthranilate phosphoribosyltransferase, chloroplastic isoform X2 [Daucus carota subsp. sativus]	GO:0000162, GO:0004048, GO:0005829	Tryptophan biosynthesis
888	CcGene_19940	CcContig_122186	11385	19078	+	Secondary Metabolite	8506.1protein NRT1/ PTR FAMILY 5.2 [Daucus carota subsp. sativus]	GO:0004838, GO:0006572, GO:0009058, GO:0016020, GO:0022857, GO:0030170, GO:0055085	Tyrosine catabolism
889	CcGene_24983	CcContig_126754	36351	39337	+	Secondary Metabolite	KAK1357227.1Ribulose bisphosphate carboxylase/oxygenase activase [Heracleum sosnowskyi]	GO:0005524, GO:0009570, GO:0009579, GO:0016887, GO:0046863	Auxin signalling
890	CcGene_00741	CcContig_136808	14318	16148	+	Secondary Metabolite	KAL1820047.1hypothetical protein ACET3Z_014916 [Daucus carota]	GO:0008171, GO:0008757, GO:0032259, GO:0046983	Methylation
891	CcGene_20029	CcContig_138838	44363	48781	+	Secondary Metabolite	8671.1UTP--glucose-1-phosphate uridylyltransferase 3, chloroplastic [Daucus carota subsp. sativus]	GO:0003977, GO:0006048	Synthesis of UDP-N-acetyl-glucosamine
892	CcGene_23989	CcContig_099765	36316	45572	+	Secondary Metabolite	3916.1methyl-CpG-binding domain-containing protein 9 isoform X2 [Daucus carota subsp. sativus]	GO:0005515, GO:0005634	TFAP2 (AP-2) family regulates transcription of cell cycle factors
893	CcGene_02811	CcContig_130993	42214	45206	+	Secondary Metabolite	2372.1DNA-(apurinic or apyrimidinic site) endonuclease, chloroplastic [Daucus carota subsp. sativus]	GO:0003677, GO:0003906, GO:0005634, GO:0006284, GO:0008081, GO:0008311	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway
894	CcGene_17767	CcContig_144111	22526	26130	-	Secondary Metabolite	0786.1uncharacterized protein LOC108213493 isoform X1 [Daucus carota subsp. sativus]	GO:0004605, GO:0005739, GO:0016024, GO:0032049	Cardiolipin biosynthesis
895	CcGene_15985	CcContig_113015	27355	32123	+	Secondary Metabolite	KAL1818572.1hypothetical protein ACET3Z_013441 [Daucus carota]	GO:0004477, GO:0004488, GO:0005829, GO:0035999	Metabolism of folate and pterines
896	CcGene_11997	CcContig_111315	28716	42524	+	Secondary Metabolite	0898.1uncharacterized protein LOC141701139 [Apium graveolens]		Lysine biosynthesis VI
897	CcGene_02977	CcContig_047989	327	1313	+	Secondary Metabolite	Belongs to the AAA ATPase family	GO:0005739, GO:0006400, GO:0009691, GO:0052381	Synthesis of wybutosine at G37 of tRNA(Phe); tRNA modification in the nucleus and cytosol
898	CcGene_10000	CcContig_144152	3490	6488	+	Secondary Metabolite	9495.1pentatricopeptide repeat-containing protein At2g22070 [Daucus carota subsp. sativus]	GO:0005515, GO:0008270	Brassinosteroid signaling
899	CcGene_09176	CcContig_092791	83968	86312	+	Terpenoid Biosynthesis	KAL1823256.1hypothetical protein ACET3Z_010034 [Daucus carota]	GO:0004420, GO:0005515, GO:0005778, GO:0005789, GO:0008299, GO:0015936, GO:0016126	Mevalonate pathway
900	CcGene_26996	CcContig_004051	16995	20042	+	Secondary Metabolite	6460.1methyl-CpG-binding domain-containing protein 7 isoform X2 [Daucus carota subsp. sativus]	GO:0003677	RNA Polymerase I Transcription Initiation; HDACs deacetylate histones; Regulation of TP53 Activity through Acetylation; Regulation of PTEN gene transcription; Plastid glycolysis; Calvin cycle
901	CcGene_10803	CcContig_076573	12045	15293	+	Secondary Metabolite	KAK1389811.1Serine hydroxymethyltransferase [Heracleum sosnowskyi]	GO:0004372, GO:0005737, GO:0006565, GO:0008270, GO:0030170, GO:0035999, GO:0046655, GO:0050897, GO:0070905	Metabolism of folate and pterines
902	CcGene_07998	CcContig_062358	12393	18486	+	Secondary Metabolite	3825.1protein NAR1 [Daucus carota subsp. sativus]	GO:0005829	Cytosolic iron-sulfur cluster assembly
903	CcGene_15289	CcContig_001636	39262	39593	-	Secondary Metabolite	KAL1831270.1hypothetical protein ACET3Z_000921 [Daucus carota]	GO:0003676, GO:0003887, GO:0006287, GO:0006297, GO:0008296, GO:0043625, GO:0045004	Resolution of AP sites via the single-nucleotide replacement pathway; Resolution of AP sites via the multiple-nucleotide patch replacement pathway; Gap-filling DNA repair synthesis and ligation in GG-NER; APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway
904	CcGene_09005	CcContig_138566	7629	13372	+	Secondary Metabolite	cyclic nucleotide-gated ion channel	GO:0000398, GO:0005686, GO:0071011, GO:0002376, GO:0003674, GO:0005215, GO:0005216, GO:0005244, GO:0005249, GO:0005261, GO:0005267, GO:0005575, GO:0005623, GO:0005886, GO:0005887, GO:0006810, GO:0006811, GO:0006812, GO:0006813, GO:0006950, GO:0006952, GO:0006955, GO:0008150, GO:0008219, GO:0008324, GO:0009626, GO:0009987, GO:0012501, GO:0015075, GO:0015077, GO:0015079, GO:0015267, GO:0015318, GO:0015672, GO:0016020, GO:0016021, GO:0022803, GO:0022832, GO:0022836, GO:0022838, GO:0022839, GO:0022843, GO:0022857, GO:0022890, GO:0030001, GO:0031224, GO:0031226, GO:0033554, GO:0034050, GO:0034220, GO:0042391, GO:0044425, GO:0044459, GO:0044464, GO:0045087, GO:0046873, GO:0050896, GO:0051179, GO:0051234, GO:0051716, GO:0055085, GO:0065007, GO:0065008, GO:0071804, GO:0071805, GO:0071944, GO:0098655, GO:0098660, GO:0098662	mRNA Splicing - Minor Pathway
905	CcGene_11461	CcContig_001896	35143	43758	+	Secondary Metabolite	KAK1367953.1hypothetical protein POM88_034045 [Heracleum sosnowskyi]	GO:0005634, GO:0006511, GO:0008270, GO:0016567, GO:0061630	E3 ubiquitin ligases ubiquitinate target proteins
906	CcGene_11956	CcContig_092888	45526	48071	+	Secondary Metabolite	8572.1S-adenosylmethionine decarboxylase proenzyme [Daucus carota subsp. sativus]	GO:0004014, GO:0005829, GO:0006597, GO:0008295	Spermidine biosynthesis; Spermine biosynthesis
907	CcGene_21021	CcContig_137475	36184	41446	-	Secondary Metabolite	KAK1396451.1Vacuolar amino acid transporter 1 [Heracleum sosnowskyi]	GO:0003333, GO:0015171, GO:0016020	GABA synthesis, release, reuptake and degradation; Transport of inorganic cations/anions and amino acids/oligopeptides
908	CcGene_04736	CcContig_128699	443	9431	+	Secondary Metabolite	KAL1822106.1hypothetical protein ACET3Z_008884 [Daucus carota]	GO:0003676, GO:0005634, GO:0008168, GO:0032259	Methylation
909	CcGene_21000	CcContig_126466	3486	5569	+	Secondary Metabolite	WOH10163.1hypothetical protein DCAR_0729626 [Daucus carota subsp. sativus]	GO:0003676	Phylloquinone biosynthesis
910	CcGene_12008	CcContig_053820	11165	16878	+	Secondary Metabolite	BOI-related E3 ubiquitin-protein ligase	GO:0003700, GO:0006355, GO:0043565, GO:0003674, GO:0004857, GO:0004866, GO:0004869, GO:0005575, GO:0005622, GO:0005623, GO:0005634, GO:0005737, GO:0006464, GO:0006807, GO:0006915, GO:0008150, GO:0008152, GO:0008219, GO:0009892, GO:0009987, GO:0010466, GO:0010605, GO:0010941, GO:0010951, GO:0012501, GO:0016567, GO:0019222, GO:0019538, GO:0030162, GO:0030234, GO:0030414, GO:0031323, GO:0031324, GO:0032268, GO:0032269, GO:0032446, GO:0036211, GO:0042981, GO:0043027, GO:0043028, GO:0043066, GO:0043067, GO:0043069, GO:0043086, GO:0043154, GO:0043170, GO:0043226, GO:0043227, GO:0043229, GO:0043231, GO:0043281, GO:0043412, GO:0044092, GO:0044237, GO:0044238, GO:0044260, GO:0044267, GO:0044424, GO:0044464, GO:0045861, GO:0048519, GO:0048523, GO:0050789, GO:0050790, GO:0050794, GO:0051171, GO:0051172, GO:0051246, GO:0051248, GO:0051336, GO:0051346, GO:0051865, GO:0052547, GO:0052548, GO:0060255, GO:0060548, GO:0061134, GO:0061135, GO:0065007, GO:0065009, GO:0070647, GO:0071704, GO:0080090, GO:0098772, GO:1901564, GO:2000116, GO:2000117	Salicylic acid signaling
911	CcGene_00681	CcContig_121116	7525	9639	+	Secondary Metabolite	KAL1807305.1hypothetical protein ACET3Z_030373 [Daucus carota]	GO:0016567, GO:0061630	E3 ubiquitin ligases ubiquitinate target proteins
912	CcGene_28460	CcContig_060032	9875	17511	+	Secondary Metabolite	9124.2endoribonuclease Dicer homolog 2 isoform X1 [Daucus carota subsp. sativus]	GO:0003723, GO:0004525, GO:0005634, GO:0005737, GO:0030422	Small interfering RNA (siRNA) biogenesis
913	CcGene_14757	CcContig_060070	17829	20392	-	Secondary Metabolite	KAL1834309.1hypothetical protein ACET3Z_003960 [Daucus carota]	GO:0004144, GO:0005886, GO:0019432	Triglyceride biosynthesis
914	CcGene_12776	CcContig_142249	20220	27231	+	Secondary Metabolite	KAL1809984.1hypothetical protein ACET3Z_026974 [Daucus carota]	GO:0004674, GO:0005524, GO:0005634, GO:0005829, GO:0005956, GO:0018105, GO:0018107, GO:0051726	Polo-like kinase mediated events
915	CcGene_26938	CcContig_124504	41214	44249	-	Secondary Metabolite	6816.1pyruvate dehydrogenase E1 component subunit beta-3, chloroplastic [Daucus carota subsp. sativus]	GO:0004739, GO:0006086	PDH complex synthesizes acetyl-CoA from PYR
916	CcGene_06630	CcContig_128003	10437	13230	-	Secondary Metabolite	KAK1370445.1hypothetical protein POM88_036537 [Heracleum sosnowskyi]	GO:0000723, GO:0006281, GO:0043139	Fanconi Anemia Pathway in DNA repair
917	CcGene_15083	CcContig_058848	2403	9535	+	Secondary Metabolite	7287.1cellulose synthase A catalytic subunit 5 [UDP-forming] [Daucus carota subsp. sativus]	GO:0005802, GO:0005886, GO:0009833, GO:0016760, GO:0030244	Cellulose biosynthesis
918	CcGene_05651	CcContig_076149	986	4687	-	Secondary Metabolite	KAL1823302.1hypothetical protein ACET3Z_010080 [Daucus carota]	GO:0005802, GO:0005886, GO:0009833, GO:0016760, GO:0030244	Cellulose biosynthesis
919	CcGene_09377	CcContig_119513	52729	53295	-	Secondary Metabolite	KAL8145264.1hypothetical protein AgCh_003454 [Apium graveolens]	GO:0008757, GO:0032259	Methylation
920	CcGene_06998	CcContig_001681	5835	6860	+	Secondary Metabolite	9364.1E3 ubiquitin-protein ligase BRE1-like [Apium graveolens]		Regulation of PTEN stability and activity; SUMOylation of ubiquitinylation proteins
921	CcGene_13002	CcContig_141199	44394	51357	+	Secondary Metabolite	KAK1393866.1poly(RC)-binding protein 4 [Heracleum sosnowskyi]	GO:0003729, GO:0005634, GO:0005737, GO:0010468	TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest
922	CcGene_24999	CcContig_138386	17269	20504	+	Secondary Metabolite	6008.1AP2-like ethylene-responsive transcription factor BBM1 [Daucus carota subsp. sativus]	GO:0003677, GO:0003700, GO:0006355	Primary root development
923	CcGene_04793	CcContig_100790	4399	9978	+	Secondary Metabolite	0236.2homocysteine S-methyltransferase 2 [Daucus carota subsp. sativus]	GO:0008270, GO:0008898, GO:0033528	S-methylmethionine cycle
924	CcGene_11025	CcContig_104405	5095	10655	-	Secondary Metabolite	0355.1probable ATP-dependent DNA helicase CHR12 [Daucus carota subsp. sativus]	GO:0003677, GO:0005524, GO:0005634, GO:0042393, GO:0045944, GO:0140658	Interleukin-7 signaling; RMTs methylate histone arginines; Tetrahydrofolate biosynthesis I; Tetrahydrofolate biosynthesis II
925	CcGene_20950	CcContig_049377	4945	12821	+	Secondary Metabolite	Protein of unknown function (DUF1635)	GO:0004306, GO:0005737, GO:0006646	Synthesis of PE
926	CcGene_02285	CcContig_145056	51032	54229	-	Secondary Metabolite	9213.1serine/arginine-rich SC35-like splicing factor SCL30A isoform X1 [Daucus carota subsp. sativus]	GO:0000398, GO:0003723, GO:0005737, GO:0016607	mRNA Splicing - Major Pathway
927	CcGene_19560	CcContig_113304	8178	10928	-	Secondary Metabolite	1660.1uncharacterized protein LOC141712572 [Apium graveolens]	GO:0003723, GO:0004347, GO:0005730, GO:0006094, GO:0006096, GO:0097367	Gluconeogenesis; Glycolysis; Cytosolic glycolysis; Plastid glycolysis
928	CcGene_29787	CcContig_099998	9945	13092	+	Secondary Metabolite	9809.1cyclin-dependent kinase G-2-like isoform X1 [Apium graveolens]	GO:0004674, GO:0005524, GO:0005634, GO:0006468, GO:0007346	MASTL Facilitates Mitotic Progression
929	CcGene_13000	CcContig_139268	15427	16947	-	Secondary Metabolite	4587.1heat stress transcription factor A-4a-like [Daucus carota subsp. sativus]	GO:0000978, GO:0003700, GO:0005634, GO:0006357, GO:0034605	Regulation of HSF1-mediated heat shock response; Mitochondrial unfolded protein response (UPRmt); Attenuation phase; HSF1 activation; Regulation of seed germination and coleoptile growth under submergence and normal gravity environment
930	CcGene_26645	CcContig_133222	22685	27937	-	Lipid & Polyketide Metabolism	1076.1uncharacterized protein LOC108205612 [Daucus carota subsp. sativus]	GO:0005789, GO:0006672, GO:0030148, GO:0090156	Sphingolipid de novo biosynthesis
931	CcGene_04304	CcContig_027748	649	1590	+	Secondary Metabolite	KAK6140004.1hypothetical protein DH2020_026220 [Rehmannia glutinosa]	GO:0000015, GO:0000287, GO:0004634, GO:0006096	Glycolysis; Cytosolic glycolysis; Plastid glycolysis
932	CcGene_27997	CcContig_122477	59334	62599	-	Lipid & Polyketide Metabolism	KAK1391986.1White-brown complex protein 11 [Heracleum sosnowskyi]	GO:0005524, GO:0016020, GO:0016887, GO:0140359	Ciprofloxacin ADME; Sphingolipid de novo biosynthesis; Iron uptake and transport; Paracetamol ADME; Heme degradation; Heme biosynthesis
933	CcGene_02024	CcContig_001897	7570	8927	+	Secondary Metabolite	5267.2zinc finger protein ENHYDROUS-like [Daucus carota subsp. sativus]	GO:0003700, GO:0005634	Gibberellin signaling
934	CcGene_24048	CcContig_076344	49552	52325	+	Secondary Metabolite	KAL1823296.1hypothetical protein ACET3Z_010074 [Daucus carota]	GO:0004805, GO:0005829, GO:0005992	Trehalose biosynthesis; Trehalose biosynthesis I
935	CcGene_26864	CcContig_050393	20553	31097	+	Secondary Metabolite	8597.1phospholipase D zeta 1 [Daucus carota subsp. sativus]	GO:0004630, GO:0005886, GO:0006654, GO:0009395, GO:0035556	Synthesis of PA
936	CcGene_02508	CcContig_007744	4734	5720	-	Secondary Metabolite	KAL8092755.1hypothetical protein AgCh_034856 [Apium graveolens]	GO:0016255, GO:0042765	Attachment of GPI anchor to uPAR
937	CcGene_08422	CcContig_092890	4757	10328	-	Secondary Metabolite	KAL1806631.1hypothetical protein ACET3Z_029699 [Daucus carota]	GO:0005886, GO:0015385, GO:0015386, GO:0051453, GO:0071805, GO:0098719, GO:1902600	TWIK-related spinal cord K+ channel (TRESK); TWIK related potassium channel (TREK); Tandem pore domain halothane-inhibited K+ channel (THIK); TWIK-releated acid-sensitive K+ channel (TASK); TWIK-related alkaline pH activated K+ channel (TALK)
938	CcGene_27637	CcContig_107959	135373	135748	+	Secondary Metabolite	5681.1E3 ubiquitin-protein ligase RSL1 [Daucus carota subsp. sativus]	GO:0000151, GO:0000209, GO:0005737, GO:0031624, GO:0032436, GO:0061630	Antigen processing: Ubiquitination & Proteasome degradation
939	CcGene_14993	CcContig_138635	1979	2449	-	Secondary Metabolite	WOH15869.1hypothetical protein DCAR_0935415 [Daucus carota subsp. sativus]		Tetrahydrofolate biosynthesis II; Tetrahydrofolate biosynthesis I
